,vmax_forward_Enz_A,vmax_forward_Enz_B,vmax_forward_Enz_C,vmax_forward_Enz_D,vmax_forward_Enz_E,vmax_forward_Enz_F,vmax_forward_Enz_G,vmax_forward_Enz_H,vmax_forward_Enz_L,vmax_forward_TKT2,vmax_forward_RPI,vmax_forward_PDH,vmax_forward_CS,km_substrate2_TKT2,km_substrate1_PDH,km_substrate1_Enz_A,km_substrate2_Enz_A,vmax_forward_Enz_I,km_substrate1_Enz_I,Product_I
2409,0.9409252285915616,1.5972152476799617,0.844894777069756,1.3258656801153947,0.8916077316109206,1.9067985517087007,1.2658306970709845,1.96741319672984,1.5910423047132298,1.0862762128937733,0.8631700240398088,1.0616680626849382,0.9480592745422574,2.0696036825185766,0.920388904218872,2.1132710628746434,1.0798359547225445,1.281049937283441,1.1700880018133466,0.5645524558416932
3367,1.8490207514437096,0.5653382891623855,1.0283970916572929,0.939221440405215,1.9026845652236832,0.5507132203556748,1.593818375654493,1.2111323035297952,1.9736700945506915,0.4908684849715283,1.3155884678100884,0.9317854550631036,0.808037657282116,0.5045672686615021,1.7685269126556693,2.1107335600465955,0.7097096226938824,0.7176909655560142,1.265422456901681,1.5241255060895056
2079,1.6001300235143046,1.768870208448173,1.0588899334817032,1.6626646810150736,1.3436480041954608,0.5114395484368218,0.7185023137180897,1.8228400285215496,1.54427066725873,1.7680666898046158,0.7644357559634553,1.1837318617945716,1.22000841016322,1.2520875637885778,1.5604470619362245,1.1090404326232797,1.2582847579167171,0.5671232193959023,0.7739417772754477,1.053648808428804
416,1.4634591426091466,1.3085001095582836,0.8514630625639015,1.4621695067175084,1.1930172051387018,0.5558742230390548,0.7292858013432331,0.956685156585604,1.800326325242426,1.1674619532248116,0.6873508173760164,0.969461566992586,0.6727452450267719,1.7199139774082657,1.443361125800119,1.6595277122311298,0.788744345090081,1.422466782447115,1.1568457714956777,1.008198088304072
1371,1.6692773870206274,1.5823415507769991,1.244432919579374,1.7536670184334824,1.5736534984305337,0.7941040969271236,1.8699813206726703,1.3259686450046886,1.611877829281897,2.488201896388247,1.126836652406725,1.0685042119256587,1.0038687242145443,1.606686720380148,1.2289130976122111,2.352459937700144,0.9380506982287764,1.0910212178094558,0.7226982956065315,0.369269638969339
2728,1.107335218511894,1.8560907477030808,1.394194687044073,1.0750282515439742,1.87370326164272,1.169586384841821,0.5521515315786276,1.92040761767136,0.7667835317117195,1.1322268047568005,0.8936320552910678,0.9028209702174376,1.240334612615459,1.0128583281443455,1.2676854169751124,1.819387998651648,0.8261695290819651,0.6800922973939316,1.1414055334261275,0.8482706744338124
2075,1.7250087378680046,1.0724293552169577,1.3126996245131193,1.3582288968934937,1.1321328785891782,1.974504673686112,1.977270671542941,0.957998547995054,1.8038639694043064,0.8094158925906406,1.397847351751408,0.8162124880682526,0.7412058764227879,1.1091213506966469,1.443625580242288,2.7673738805588566,0.9800948856253544,1.4284518969506732,1.2526009813518968,0.908933555749488
3811,0.5143554965023577,1.2507684570746758,1.695932670897534,0.8006641641312657,1.9921810011997805,1.0327207064576551,1.200555450339256,1.092902933276664,1.7169991046012585,1.2764360904693457,1.2069737094765132,1.1291618948231965,0.6188707077091401,0.8614502145641085,1.6812816532543209,1.1424014120947217,0.7166159233435044,1.217683968278723,0.8288200971765668,0.4427620765361589
3446,1.3153521829942356,1.1564288439823651,1.8737442329485017,1.918265340288384,0.619721855034653,1.775488652228323,1.7721588952185214,1.3950224954106685,1.4860909954485089,2.1961162556891654,1.2898138578726797,0.931636169663456,0.7484097942703761,2.4138776271057982,1.1025514200549194,2.85190964313314,1.0684993328336834,0.8495440619732941,1.1359401776419684,0.652683111405618
6630,1.2242908468731746,1.648988627815949,1.861899066336152,1.4597567963877935,1.084699442414799,0.8434035505271658,1.32727367054414,1.356438118347192,1.050042340078365,2.786900970685555,1.0060304631066903,0.9444590178358728,1.1239723788313651,2.5285375249383333,0.6348109659667339,2.227514385693968,0.7651997526173959,0.639273456637501,0.8299405125934652,0.8311273740905379
